College Code,1G,1H,2AG,2AH,2BG,2BH,3AG,3AH,3BG,3BH,GM,GMH,NKN,PH,SCG,SCH,STG,STH,XD,Total
C541MC,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,2,0,0,7
C542MC,0,0,6,0,0,0,0,0,3,1,0,3,0,4,9,1,3,1,0,31
C544MC,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,4
C547MC,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,6
C548MC,0,0,0,8,0,1,0,3,0,3,0,24,1,0,0,10,0,4,1,55
C550MC,0,0,2,0,0,0,0,0,1,0,0,0,0,2,2,0,1,0,0,8
C552MC,0,0,3,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,8
C555MC,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3
C556MC,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,4
C557MC,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,4
C559MC,0,0,1,1,0,0,0,0,3,0,0,1,0,3,4,1,2,1,0,17
C567MC,0,0,3,1,0,0,0,0,3,0,0,2,0,3,4,1,0,0,0,17
C569MC,0,0,3,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,8
C570MC,0,0,0,1,0,0,0,0,0,1,0,7,0,2,1,3,0,0,0,15
C572MC,0,0,3,0,0,0,0,1,0,0,0,0,0,2,3,0,1,0,0,10
C574MC,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,6
C576MC,0,0,4,0,0,0,0,0,2,0,0,1,0,2,6,1,2,1,0,19
C578MC,0,0,1,0,0,0,0,0,1,0,0,1,0,2,1,0,0,0,0,6
C579MC,0,0,3,0,0,1,0,0,1,0,0,0,0,2,3,0,2,0,0,12
C433MC,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3
C439MC,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,5
C457MC,0,0,12,1,0,0,0,0,3,1,0,3,0,6,15,2,7,0,0,50
C466MC,0,0,8,1,0,0,0,0,3,1,0,2,0,4,9,0,3,1,0,32
C480MC,0,0,0,0,0,1,0,0,1,0,0,0,0,1,3,0,1,0,0,7
C481MC,0,0,1,0,0,0,0,0,1,0,0,1,0,3,3,0,1,0,0,10
C500MC,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,0,0,0,0,5
C514MC,0,0,0,1,0,0,0,0,0,1,0,6,0,1,1,3,0,1,0,14
C520MC,0,0,3,0,0,0,0,0,2,0,0,1,0,3,5,1,3,0,0,18
C521MC,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,4
C543MC,0,0,3,1,0,0,0,0,2,0,0,1,0,3,5,1,0,0,0,16
C568MC,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,7
C575MC,0,0,9,0,0,0,0,0,3,1,0,3,0,5,14,2,3,1,0,41
