College Code,College Name
C500MC,SRI SIDDHARTHA ACADEMY OF HIGHER EDUCATION MARALUR TUMKUR 
C501MC,JAWHARLAL NEHRU NEW COLLEGE OF ENGINEERING SHIMOGA 
C503MC,DAYANANDA SAGAR ACADEMY OF TECHNOLOGY AND MANAGEMENT UDAYA PURA KANAKAPURA ROAD BANGALORE 
C504MC,K L E INSTITUTE OF TECHNOLOGY OPPOSITE TO AIRPORT GOKUL HUBLI 
C508MC,BRINDAVAN COLLEGE OF ENGINEERING YELAHANKA BANGALORE 
C511MC,RANI CHANNAMMA UNIVERSITY BELGAUM 
C514MC,SHARANBASVA UNIVERSITY KALABURAGI 
C516MC,ST FRANCIS COLLEGE 
C517MC,ATRIA INSTITUTE OF TECHNOLOGY ASKB CAMPUS AG'S COLONY 
C518MC,VIVEKANANDA COLLEGE OF ENGINEERING AND TECHNOLOGY NEHARU NAGARA PUTTUR 
C519MC,JSS COLLEGE OF ARTS COMMERCE AND SCIENCE OOTY ROAD MYSORE 
C520MC,DAYANANDA SAGAR UNIVERSITY BANGALORE 
C521MC,CMR UNIVERSITY OFF HENNUR BAGALUR MAIN ROAD CHAGALATTI BANGALORE 
C522MC,SRI JAYACHAMARAJENDRA COLLEGE OF ENGINEERING MYSORE 
C523MC,TUMKUR UNIVERSITY PG CENTRE TIPTUR TUMKUR 
C524MC,ACHARYA INSTITUTE OF TECHNOLOGY SOLDEVANAHALLI HESARAGHATTA MAIN ROAD BANGALORE 
C525MC,B N BAHADUR INSTITUTE OF MANAGEMENT UNIVERSITY OF MYSORE MANASAGANGOTRI MYSORE 
C526MC,CHRIST ACADEMY INSTITUTE FOR ADVANCED STUDIES CHRIST NAGAR HULLAHALLI BEGUR KOPPA ROAD SAKK 
C527MC,CMR UNIVERSITY NO 
C528MC,COMMUNITY INSTITUTE OF MANAGEMENT STUDIES 
C529MC,DEPARTMENT OF MANAGEMENT STUDIES BELLARY CENTER VIJAYA NAGARA SRI KRISHNADVARAYA UNIVERSITY BELLA 
C531MC,DR P G HALAKATTI PG CENTER VIJAYAPURA 
C532MC,G T INSTITUTE OF MANAGEMENT STUDIES AND RESEACH 
C533MC,HARSHA INSTITUTE OF MANAGEMENT STUDIES 
C534MC,JSS ACADEMY OF TECHNICAL EDUCATION JSSATE CAMPUS BANGALORE 
C535MC,KLE
C536MC,MANGALORE INSTITUTE OF TECHNOLOGY & ENGINEERING BADAGA MIJAR MOODBIDRI MANGALORE 
C537MC,NAGARJUNA COLLEGE OF MANAGEMENT STUDIES CHIKKAMARALI VILLAGE DODDAMARALI POST CHIKKABALLAP 
C538MC,PES INSTITUTE OF TECHNOLOGY & MANAGEMENT GUDDADAARAKERE SHIMOGA 
C539MC,SEA COLLEGE OF SCIENCE COMMERCE AND ARTS NO 
C540MC,SECAB INSTITUTE OF ENGINEERING & TECHNOLOGY 
C541MC,ST AGNES COLLEGE AUTONOMOUS BENDORE MANGALORE DAKSHINA KANNADA 
C542MC,DHANWANTARI ACADEMY FOR MANAGEMENT STUDIES M A J FOUNDATION VINAYAKA NAGAR NEAR CHIKKABANAVA 
C543MC,"THE CHANAKYA UNIVERSITY HARALURU,DEVANAHALLI "
C544MC,MAHARAJA INSTITUTE OF TECHNOLOGY THANDAVAPURA THANDAVAPURA VILLAGA ON NATIONAL HIGHWWAY NANJANAG 
C545MC,INTERNATIONAL SCHOOL OF MANAGEMENT EXCELLENCE SURVEY NO 
C546MC,THE KISHKINDA UNIVESITY NEAR SINDHIGERI GP NO 
C547MC,SJB INSTITUTE OF TECHNOLOGY BGS HEALTH & EDUCATION CITY NO 
C548MC,AKASH GLOBAL COLLEGE OF MANAGEMENT AND SCIENCE 
C549MC,NAVKIS COLLEGE OF ENGINEERING HASSAN P B NO 
C550MC,AKASH INSTITUTE OF ENGINEERING AND TECHNOLOGY PRASANNAHALLI MAIN ROAD AKKUPETE VILLAGE KASABA 
C551MC,AMITY UNIVERSITY NATIONAL HIGHWAY 
C552MC,ANJUMAN INSTITUTE OF TECHNOLOGY AND MANAGEMENT ANJUMANABAD BHATKAL U K DIST KARNATAKA PIN 
C553MC,ATME COLLEGE OF ENGINEERING SY NO 
